Customer_Nationality,Date,Reviews
Germany,Mar-19,"Arriving with EVA air from Taipei the flight was on time but JFK authorities did not have a parking spot available for approx 1 hour. A nightmare after a 16 hour flight! Once out of the plane immigration procedures were next. A huge and extensive hall with plenty of booths but only one was open. One officer for 4 wide body aircrafts. Where are all the officers? Sleeping, chatting, taking a break? Welcome to the service desert called USA. Any questions raised are replied like you are a criminal, rude and agressive. Overall that gives any arriving visitor a good impression of what to expect within this snobbish and rude country. Try to avoid whenever possible. B.t.w., lack of immigration officers is common. At another time I experienced that 2 out of 53 counters were open."
Belgium,Mar-19,The worst airport I have ever been to (and I travel a lot!). We were 4 hours early for a flight and just made it on time because of the very long queue both for check in and through security. Staff were extremely rude! In fact I saw a member of the public ask a member of staff if she worked for the airport as she needed help and the staff member simply said 'no' even though she was wearing a uniform and clearly on duty. She just couldn't be bothered to help! Unnecessarily stressful and the worst organization I have ever seen.
Norway,Mar-19,"The annocments for passengers and changed flights happen all the time, it was loud, annoying and the girl on the microphone ruined the waiting. Fix the mic, speakers and please stop with announcements. Also very expensive."
US,Feb-19," Arrived from Seoul to JFK Terminal 4. Connecting flight to Boston scheduled to depart from Terminal 2. Waiting for 2 hours at Terminal 2, you cannot even get a wifi connection, the free JFK wifi signal is not strong enough to connect to the web. After 4 (!!) gate changes, back on the shuttle bus to Terminal 4! Add to this a $13 sandwiches, this is a horror show, not an airport. I thought Manila, Philippines, airport was slow and inefficient, but at least they don't jerk you around the airport from gate to gate, and you get better wifi in Manila than at JFK,"
UK,Feb-19,Absolutely shocking airport on both the times we were here. Very long queuing times. Staff are so rude and very unhelpful. Although we loved New York this airport has put us off ever coming back. We are frequent travellers so we are aware of how busy an airport can get. We were left infuriated still when we boarded our flight back to the UK.
Denmark,Feb-19,"JFK is by far the worst airport I've been to. Why don't they have a stroller or something, for family's with small children? No smoking area (its my review, so I write whats important tp me!) once through security, you are stuck at the same 20 something gates, and a handfull of bad cafe's! Very bad airport! Wifi is slow as though from the 1990!"
UK,Feb-19," I was disgusted by the treatment of security staff and how they spoke to people and shouted at them. On arrival the staff were hostile (mainly the women) and in departure I overheard one security woman telling her colleague that people are “scared of her” to which she found this to be very amusing, another shouted orders in the face of an old woman telling her to pick up her tray off the floor, she was very intimidating and would have been better suited to working in a prison than in an airport. I was disgusted at this and how these people are a representation of your country, something needs to be done about the way they approach and interact with passengers. Most of the security were stood around in large groups talking and one women was whining about how she hated being theirs and wanted to go home. It was a horrible experience."
US,Jan-19,"On Delta Airlines I flew out of Terminal 2 and returned through Terminal 4 for a domestic trip. The terminals differ enormously by size- Terminal 2 is very much smaller and very compact. Terminal 4 is huge with many stores and eateries requiring a lot of walking to and from your gate. On departure, I was surprised at the virtually non-existence security line. The gate areas have large glass panels and high ceilings. Lots of seating with electric power points. Quite a few eating places - including a Wendy’s - for a terminal with less than a dozen gates. My first time in Terminal 2 and highly recommend it. Delta had staff at the terminal entrance to assist you. Terminal 4 was very busy and required a long walk out from my gate. Just outside Terminal 4 is dedicated space for Uber and such service cars to come to pick up clients - this is very convenient. In short, my experience was quite positive and was very pleased with Terminal 2 especially."
US,Jan-19,Just warning everyone not to be stupid like I was. i went to the taxi line and a man in a black suit with a tie said “taxi?” I said yes. He said “the taxi is waiting for you.” It was a black SUV. I told him “this is not a taxi “. He replied that it was an UBER and it was cheaper than a taxi. I have taken taxis before and it was around $60. This driver told me I had to pay $8.50 in tolls. Talked the entire time telling me how hard he works and only makes $10 an hour. Takes me to my destination and asks for cash and charges me $160 for the ride and then asked for a tip. My fault for being stupid!! Take a yellow cab!
US,Jan-19,"This was one of the most unorganized airports I’ve been in. I arrived way early and spent the entire time standing in lines. I was ultimately herded to a line for babies and handicap which merged with another line, when babies and handicap should have been in one separate line. I will never fly out of this airport again. Also, it is too far from Manhattan."
